                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82856,                0.74576,                 1.4423,                0.98165,                  0.992,                0.99327,                0.83475,                0.72658,                0.62853,                 1.3327,              0.0011059,              0.0011059,              0.0011059
                     36,                0.79845,                0.74251,                 1.3756,                 0.9813,                0.98912,                0.99439,                0.85769,                0.66241,                0.63823,                 1.2808,              0.0010894,              0.0010894,              0.0010894
                     37,                0.77809,                0.72512,                 1.3497,                0.95926,                0.95791,                0.99161,                0.84787,                0.65555,                0.71466,                 1.2635,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74304,                0.72015,                 1.3321,                0.94618,                0.94864,                0.99186,                0.86486,                0.61615,                0.67507,                 1.2816,              0.0010564,              0.0010564,              0.0010564
                     39,                0.73385,                0.68913,                 1.3173,                0.98367,                0.99185,                0.99097,                0.87089,                0.59039,                0.59186,                 1.2268,              0.0010399,              0.0010399,              0.0010399
                     40,                0.74146,                0.68939,                  1.318,                0.95714,                0.96948,                0.98933,                0.86251,                0.63015,                0.64842,                 1.2378,              0.0010234,              0.0010234,              0.0010234
                     41,                   0.72,                0.66579,                 1.3091,                0.97268,                0.97667,                0.99471,                0.88829,                0.53769,                0.53902,                 1.1568,              0.0010069,              0.0010069,              0.0010069
                     42,                0.70942,                0.65263,                 1.2944,                0.91171,                 0.9444,                0.98849,                0.86556,                0.58112,                0.64801,                 1.1837,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70203,                0.61298,                 1.2668,                0.97785,                0.97164,                 0.9931,                0.88425,                0.56493,                0.52974,                 1.1669,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71607,                 0.6318,                 1.2946,                 0.9845,                0.98741,                0.99373,                0.88765,                 0.5439,                0.53201,                 1.1344,             0.00095736,             0.00095736,             0.00095736
                     45,                0.71339,                0.62176,                 1.2976,                0.88431,                0.94183,                0.97041,                0.87795,                0.49791,                0.64597,                 1.1021,             0.00094085,             0.00094085,             0.00094085
                     46,                0.70884,                0.62833,                 1.2871,                0.98931,                 0.9837,                0.99423,                0.91953,                0.44859,                0.47028,                 1.0578,             0.00092435,             0.00092435,             0.00092435
                     47,                0.64966,                 0.5814,                 1.2308,                 0.9827,                0.99801,                0.99488,                0.90458,                0.48254,                0.47823,                 1.1027,             0.00090785,             0.00090785,             0.00090785
                     48,                0.64781,                0.57979,                 1.2441,                0.98331,                0.99928,                0.99413,                 0.9103,                 0.4713,                0.45651,                   1.07,             0.00089134,             0.00089134,             0.00089134
                     49,                0.67093,                0.60406,                 1.2722,                0.97126,                0.98425,                0.99294,                0.89329,                 0.5017,                0.48529,                 1.1265,             0.00087484,             0.00087484,             0.00087484
                     50,                0.68106,                0.60927,                 1.2614,                0.95658,                0.97661,                0.99478,                0.88913,                0.51926,                0.50663,                 1.1168,             0.00085834,             0.00085834,             0.00085834
